id,name,desc,gold,exp,action,mana,hp,level,isBoss,deck
1,大气元素,永不动摇的暴风雨,1,1,0,5,1,5,0,10
2,战士,绿色是不容易的,3,4,1,5,2,4,1,10
3,魔法师,不是很快。用魔法把其他人带到他的水平,1,1,1,6,1,4,0,7
4,萨满,蜥蜴的向导,1,1,1,0,1,1,0,9
5,风暴召唤者,绿色闪电大师。,1,1,1,0,1,4,0,4
6,女妖,她的天赋哺育了她黑暗的一面,1,1,0,0,1,5,0,5
7,影龙,令人惊讶的鬼鬼祟祟的东西这么大,1,1,0,0,1,8,0,13
8,布朗尼,通常平静，但你在她的方式清洗,1,1,0,0,1,4,0,5
9,色妖,元素，我亲爱的冒险家,3,4,1,5,2,7,1,16
10,克隆,喜欢照镜子,1,1,0,15,1.3,4,0,0
11,性灵气,充满热空气,3,4,0,0,2,4,1,3
12,恶魔,困在665个受害者,1,1,0,0,1,7,0,3
13,弟子的混乱,疯狂的黑暗神的奉献者,1,1,0,0,1,1,0,10
14,土元素,是岩石，回来之前的意外,1,1,0,5,1,5,0,10
15,火怪,容易无聊，所以他喜欢让事情有趣,1,1,0,0,2.25,7,0,5
16,精灵盗贼,有一把小小的剑，但真正懂得如何使用它,1,1,0,0,1,4,0,5
17,火元素,有助于烧烤,1,1,0,5,1,5,0,8
18,粘胶方块,什么都吃。包括你。,3,4,0,0,3,4,1,3
19,精灵,会给你三个愿望。你会喜欢它。,3,4,0,5,2,4,1,7
20,鬼,幽灵吸床单,1,1,0,0,1,5,0,2
21,食尸鬼,在你眼前分崩离析,1,1,0,0,1,4,0,2
22,巨鲨,抗鼻穿孔,3,4,0,0,2.25,4,1,4
23,巨型蜘蛛,陷阱的苍蝇。自旋结网。一些蜘蛛,1,1,0,0,1,1,0,6
24,海妖,吞噬者的船舶，海滨物业，和冒险家,3,4,0,0,2,7,1,1
25,妖精,地精从不单独旅行,1,1,0,0,1,1,0,1
26,地精囤积者,地精和他的财宝很少分开,2,1,1,0,1,3,0,4
27,精王,地精和炸药：危险的组合,3,4,0,0,2.5,4,1,3
28,地精机械师,一半时间：辉煌。一半时间：着火。一半时间：两者。,1,1,0,0,1,4,0,1
29,狮鹫,不是山,1,1,0,0,1,1,0,2
30,魔女,她的房子有鸡脚,1,1,0,0,1.5,7,0,4
31,荣耀之手,喜欢：跳舞不喜欢：你,1,1,0,0,1,7,0,1
32,鸟身女妖,卑鄙的举止和气味,1,1,1,0,1,4,0,12
33,九头蛇,许多，许多头在每回合的火和毒药帮助之后长回来,3,4,0,0,2,7,1,0
34,冰雪皇后,为破坏冰也是伟大的,3,4,0,5,2.25,7,1,2
35,小鬼,妖精用自己喜欢的矿工使用金丝雀：如果狗头人开始下降，必须有冒险了,1,1,0,0,1,1,0,3
36,巫妖,心是两个大小太小。使它很容易安装在一个罐子里。,3,4,0,5,2,7,1,11
37,法师,一个魔术师的把戏。和火球,1,1,0,4,0.75,1,0,6
38,熔岩怪,进化为克服流星,3,4,0,0,2,4,1,3
39,美杜莎,她闲暇时倾向于一座石头花园,1,1,1,0,1,4,0,6
40,MIME,沉默而致命,3,4,0,0,2.5,4,1,5
41,模仿,胸口咬你,0,1,1,0,0.5,5,0,7
42,泄漏,渴望新朋友,1,1,0,0,1,1,0,2
43,兽人,像妖精。但类固醇,1,1,0,0,1,1,0,1
44,凤凰,无休止的火鸟,3,4,0,0,1.25,7,1,6
45,食人鱼,永远，永远不要让你走,1,1,0,0,1,1,0,2
46,小精灵,现在你看到他了。现在你着火了,1,1,0,3,0.75,1,0,3
47,牧师,听到声音。他们叫他去杀人。杀死你。,1,1,0,3,1,1,0,4
48,红色的龙,古代的执法者：没有两个人是不是着火了,1,1,0,0,2,7,0,11
49,亡魂,总是得到安可,1,1,0,0,1,7,0,4
50,警报器,认为你会成为一个特别好的朋友,1,1,0,6,1,4,0,6
51,骨架,瘦骨嶙峋的,1,1,0,0,1,1,0,2
52,狮身人面像,古老的谜语。中世纪的答案。,1,1,0,10,1,7,0,10
53,石魔像,在法师的决斗中常见的武器。唯一的幸存者。,1,1,0,0,1.5,4,0,2
54,风暴巨人,走得很大声，拿着一根大棍子,1,1,0,0,1.5,7,0,5
55,小偷,一个真正喜欢和不喜欢分享的冒险家,1,1,1,0,1,1,0,4
56,泰坦,风暴之神。不系在岩石上。,3,4,0,0,2.5,7,1,8
57,树妖,你折断树枝，他折断骨头,1,1,0,0,1.5,7,0,4
58,拖钓,不喜欢你闯入,1,1,0,0,1.25,4,0,1
59,独角兽,你不是她的类型,3,4,0,0,2,4,1,2
60,猎人,杀人的心理丛林猫,1,1,1,0,1,4,0,5
61,追踪者,梦中最快的画,1,1,1,0,1,1,0,5
62,潜伏者,寂静，寂静，潜行,1,1,1,0,1,5,0,5
63,战争女王,她统治着跳跃，骄傲和连胜,3,4,1,0,2,4,1,5
64,吸血鬼,不是所有的闪闪发光的,3,4,1,10,2,4,1,7
65,吸血蝙蝠,希望它可以成为一个真正的吸血鬼,1,1,0,0,1,1,0,3
66,战士,总是欺负。你不能忍受欺负,1,1,0,0,1.25,1,0,3
67,水元素,试图淹没整个世界,1,1,0,5,1,5,0,10
68,白色的龙,它和它的心一样冷,1,1,0,20,1,7,0,7
69,一缕,光在野外.闪烁璀璨.跟随你的末日,1,1,0,6,0.75,5,0,6
70,幽灵,无形的灵魂.感到愤怒，失落，和孤独的.要吃你的脸,1,1,0,0,1,5,0,2
71,双足飞龙,飞来飞去蜇人。像一只非常大的蜜蜂,1,1,1,0,1,1,0,6
72,黄色的龙,30英尺内没有小区服务,1,1,0,20,1,7,0,7
73,僵尸,像一个蹒跚学步的孩子：试图通过咬来交朋友,1,1,0,0,1.5,1,0,4
