ID,Name,Description,Action,Price,Mana,Level,MaxLevel,Tier,DecayTo,AIKeepSequence,AIPlaySequence
1,Attack (1),Deal 1 @atk damage.,0,5,0,1,4,1,,5,50
2,Attack (2),Deal 2 @atk damage.,0,5,0,2,4,1,Attack1,10,50
3,Attack (3),Deal 3 @atk damage.,0,10,0,3,4,2,Attack2,15,50
4,Attack (4),Deal 4 @atk damage.,0,15,0,4,4,2,Attack3,20,50
5,Storm Slash (1),Deal 2 @air damage.,0,10,0,1,3,1,Attack1,10,50
6,Storm Slash (2),Deal 4 @air damage.,0,20,0,2,3,2,StormSlash1,20,50
7,Storm Slash (3),Deal 6 @air damage.,0,30,0,3,3,4,StormSlash2,30,50
8,Frost Slash (1),Deal 2 @wat damage.,0,10,0,1,3,1,Attack1,10,50
9,Frost Slash (2),Deal 4 @wat damage.,0,20,0,2,3,2,FrostSlash1,20,50
10,Frost Slash (3),Deal 6 @wat damage.,0,30,0,3,3,4,FrostSlash2,30,50
11,Flame Slash (1),Deal 2 @fir damage.,0,10,0,1,3,1,Attack1,10,50
12,Flame Slash (2),Deal 4 @fir damage.,0,20,0,2,3,2,FlameSlash1,20,50
13,Flame Slash (3),Deal 6 @fir damage.,0,30,0,3,3,4,FlameSlash2,30,50
14,Corrosive Slash (1),Deal 2 @ear damage.,0,10,0,1,3,1,Attack1,10,50
15,Corrosive Slash (2),Deal 4 @ear damage.,0,20,0,2,3,2,CorrosiveSlash1,20,50
16,Corrosive Slash (3),Deal 6 @ear damage.,0,30,0,3,3,4,CorrosiveSlash2,30,50
17,Colossus Smash,Play this only if you have no action cards in play. Deal 8 @atk damage. Lose all @tim ^.,0,15,0,0,0,3,Attack2,40,50
18,Sundering Strike,Deal 2 @atk damage and your opponent is <Weakened 2> this turn.,0,90,0,0,0,8,Attack3,80,10
19,Sundering Strike (1),Deal 1 @atk damage and your opponent is <Weakened 1> ^.,0,50,0,1,3,7,Attack3,60,10
20,Sundering Strike (2),Deal 2 @atk damage and your opponent is <Weakened 2> ^.,0,60,0,2,3,8,SunderingStrike1,60,10
21,Sundering Strike (3),Deal 3 @atk damage and your opponent is <Weakened 3> ^.,0,70,0,3,3,9,SunderingStrike2,60,10
22,Rallying Stroke,Deal 2 @atk damage. Draw 2 cards.,0,60,0,0,0,7,Attack3,70,40
23,Berserker Strike,Deal 10 @atk damage to your opponent and 4 @atk damage to yourself.,0,25,0,0,0,5,Attack2,50,50
24,Pierce (1),Deal 6 <piercing> damage.,0,35,0,1,3,5,Attack3,30,50
25,Pierce (2),Deal 8 <piercing> damage.,0,45,0,2,3,6,Pierce1,40,50
26,Pierce (3),Deal 10 <piercing> damage.,0,55,0,3,3,7,Pierce2,50,50
27,Holy Strike (1),Deal 2 @atk damage. Gain 2 health.,0,35,0,1,3,5,Attack1,10,50
28,Holy Strike (2),Deal 4 @atk damage. Gain 4 health.,0,45,0,2,3,6,HolyStrike1,15,50
29,Holy Strike (3),Deal 6 @atk damage. Gain 6 health.,0,55,0,3,3,7,HolyStrike2,20,50
30,Sorcerous Strike (1),Deal 2 @atk damage. Gain 2 mana.,0,35,0,1,3,5,Attack1,10,50
31,Sorcerous Strike (2),Deal 4 @atk damage. Gain 4 mana.,0,45,0,2,3,6,SorcerousStrike1,15,50
32,Sorcerous Strike (3),Deal 6 @atk damage. Gain 6 mana.,0,55,0,3,3,7,SorcerousStrike2,20,50
33,Infect,Your opponent becomes <Poisoned 3> ^.,0,30,0,0,0,4,Attack3,30,50
34,Dragon's Claw (1),Deal 2 @atk damage.,0,10,0,1,3,1,Attack1,10,50
35,Dragon's Claw (2),Deal 4 @atk damage.,0,30,0,2,3,2,DragonsClaw1,15,50
36,Dragon's Claw (3),Deal 6 @atk damage.,0,60,0,3,3,4,DragonsClaw2,30,50
37,Dragon's Bite,Deal 2 @atk damage plus 2 for each Dragon's Claw in play.,0,50,0,0,0,3,Attack2,30,80
38,Shield Bash,Deal 5 @atk damage. Gain <Damage Reduction 2> until your next turn.,0,60,0,0,0,8,Attack3,85,50
39,Backstab,Deal 1 @atk damage plus 1 for each action card in play.,0,25,0,0,0,3,Attack1,30,90
40,Slash,Deal 2 @atk damage. Draw a card.,0,25,0,0,0,6,Attack2,60,40
41,Smash,Deal 15 @atk damage.,0,90,0,0,0,9,Attack4,75,50
42,Skull Crack,Exile a card from your hand. If you do. deal 10 @atk damage.,0,35,0,0,0,5,Attack4,40,40
43,Harry,Deal 3 @atk damage. Gain 50% dodge until your next turn.,0,40,0,0,0,5,Attack3,50,50
44,Rake,If your opponent has at least half their health. they become <Poisoned 3> ^. \n Otherwise. deal 3 @atk damage plus 1 per level of poison on your opponent.,0,-1,0,0,0,3,Attack3,30,50
45,Maul,If your opponent has at least half their health. deal 5 @atk damage and prevent the next 10 damage that would be dealt to you. \n Otherwise. deal 10 <piercing> damage.,0,-1,0,0,0,6,Bite,60,50
46,Bite,If your opponent has at least half their health. deal 5 @atk damage and draw a card. \n Otherwise. deal 5 @atk damage and gain 5 health.,0,-1,0,0,0,8,Rake,80,50
47,Chaos Strike,Deal 1. 2. or 3 @atk damage. chosen randomly.,0,-1,0,0,0,1,,10,50
48,Chaos Strike,Deal 2. 3. or 4 @atk damage. chosen randomly.,0,-1,0,0,0,2,,15,50
49,Flame Strike,Deal 6 @fir damage.,0,-1,0,0,0,4,,30,50
50,Lightning Strike,Deal 6 @air damage.,0,-1,0,0,0,4,,30,50
